url,ds list,full list
http://data.nhm.ac.uk/,23,23
http://datosabiertos.ec,2,2
http://thedatahub.org/,,
http://data.lexingtonky.gov/,94,
http://data.gov.sk,,
http://ckan.gsi.go.jp/,147472,1000
http://data.openva.com/,109,109
http://dados.rs.gov.br/,69,69
http://dados.recife.pe.gov.br/,44,43
http://dados.novohamburgo.rs.gov.br,,
http://data.openpolice.ru,253,253
http://rs.ckan.net/,168,
https://opendata.bayern.de/,937,
http://africaopendata.org/,2040,1000
http://data.london.gov.uk/,595,595
http://linkeddatacatalog.dws.informatik.uni-mannheim.de/,1920,1000
http://data.ottawa.ca/,112,112
http://data.hdx.rwlabs.org,1889,1000
http://www.daten.rlp.de/,3683,
http://www.datos.misiones.gov.ar/,19,19
https://www.data.vic.gov.au/,3895,1000
http://data.noe.gv.at/,,
http://data.gov.ro/,257,257
http://opendata.aragon.es/,,2595
http://datos.gob.mx/,438,438
http://data.ohouston.org/,238,237
https://data.sa.gov.au/,,
http://data.ktn.gv.at/,99,97
http://dadosabertos.senado.gov.br/,45,
http://catalogue.datalocale.fr,286,
http://data.graz.gv.at/,151,151
http://datos.codeandomexico.org/,945,945
http://www.civicdata.io,234,233
http://data.wu.ac.at/,109,109
http://data.linz.gv.at/,,
http://opengov.es/,870,870
http://data.bris.ac.uk/data,941,941
https://www.opendataportal.at/,339,339
http://datosabiertos.malaga.eu/,570,570
http://www.amsterdamopendata.nl,208,208
http://opendatadc.org/,59,59
http://datamx.io/,945,945
http://govdata.de,15000,
http://data.gov.uk,25788,1000
http://opendata.caceres.es/,44,44
http://daten.rlp.de/,3683,
http://bermuda.io/,,
http://www.data.gc.ca/,244568,300
http://data.gov/,,1000
http://data.opencolorado.org,1290,
http://data.qld.gov.au/,1688,1000
http://opendatagortynia.gr/,36,36
https://dati.lazio.it/,178,178
https://data.overheid.nl/,6984,1000
http://ie.ckan.net,,
http://www.nosdonnees.fr/,254,254
https://edx.netl.doe.gov/,3428,
http://datakilder.no,,
http://gisdata.mn.gov,242,242
http://opendatareno.org/,7,7
http://gong.io/,,
http://dati.trentino.it/,1495,1000
http://cities.opendatahub.gr,,
http://geothermaldata.org/,,
http://open-data.okfn.gr/,142,
http://drdsi.jrc.ec.europa.eu/,4297,1000
http://data.edostate.gov.ng/,180,180
http://data.tainan.gov.tw/,384,384
https://data.gov.hk/en/,194,194
http://data.nsw.gov.au/,6378,316
http://open-data.europa.eu/,8629,
http://data.buenosaires.gob.ar/,154,
http://opendatahub.gr/,142,
http://www.opendata-hro.de/,129,
http://udct-data.aigid.jp,2425,1000
http://www.offene-daten.me,97,97
http://data.kk.dk/,128,128
http://cz.ckan.net,,
http://portal.openbelgium.be,1540,997
http://opendata.opennorth.se/,32,32
http://daten.berlin.de/,,
http://www.hri.fi/,1204,1000
http://publicdata.eu,55459,
http://opingogn.is/,34,34
http://opendata.hu/,48,48
http://data.surrey.ca/,319,319
http://donnees.ville.sherbrooke.qc.ca,46,46
http://dati.toscana.it/,380,380
http://it.ckan.net,,
http://daten.hamburg.de/,,
http://opendata.comune.bari.it/,46,46
http://offenedaten.de/,1426,1000
http://data.norge.no/,,
http://hubofdata.ru/,5860,1000
http://datospublicos.gob.ar/,,
http://dataforjapan.org,336,336
http://data.cityofsantacruz.com/,52,
http://datagm.org.uk,391,391
http://dartportal.leeds.ac.uk/,24,22
http://data.rio.rj.gov.br/,990,989
http://datahub.io/,9660,1000
http://datameti.go.jp/data/,2775,
http://opencolorado.org/,1290,
http://algeria.opendataforafrica.org/,,2595
http://annuario.comune.fi.it,501,501
http://opendata.admin.ch/,1859,1000
https://data.noaa.gov/dataset,63823,1000
http://oppnadata.se,910,847
http://data.grcity.us,35,35
http://dados.gov.br,1033,1000
http://data.ug/,378,378
http://data.glasgow.gov.uk/,375,375
http://iatiregistry.org,,
http://opendata.awt.be/,83,83
http://www.odaa.dk/,103,103
http://www.rotterdamopendata.nl/,181,181
http://data.denvergov.org/,,
http://br.ckan.net,,
http://data.gv.at,1839,1000
http://data.salzburgerland.com,6,6
http://data.gov.au/,6881,1000
http://data.gov.ie/,838,838
http://opendata.lisra.jp,17,14
http://opendata.cmt.es/,15,15
http://beta.avoindata.fi/,866,866
http://www.healthdata.gov/,,
http://datospublicos.org,,
https://catalogodatos.gub.uy/,109,109
http://opendatacanarias.es/,202,202
http://datacatalogs.org/,,
http://www.opendata.provincia.roma.it/,51,
http://data.codeforhouston.com/,,
http://donnees.ville.montreal.qc.ca/,180,180
http://www.datagm.org.uk,,
http://www.opendatahub.it/,10440,
